categoria,titulo,url,fuente,idioma,selector
Backend,CORS,https://developer.mozilla.org/es/docs/Web/HTTP/CORS,html,es,
Backend,Códigos de estado HTTP,https://developer.mozilla.org/es/docs/Web/HTTP/Status,html,es,
Backend,Cómo funciona Django,https://docs.djangoproject.com/es/stable/topics/http/urls/,html,es,
Backend,Django en pocas palabras,https://docs.djangoproject.com/es/stable/intro/overview/,html,es,
Backend,Introducción a HTTP,https://developer.mozilla.org/es/docs/Web/HTTP/Overview,html,es,
Backend,Métodos de petición HTTP,https://developer.mozilla.org/es/docs/Web/HTTP/Methods,html,es,
Backend,Vistas en Django,https://docs.djangoproject.com/es/stable/topics/http/views/,html,es,
Backend,Arquitectura de microservicios,https://es.wikipedia.org/wiki/Arquitectura_de_microservicios,wikipedia,es,
Backend,GraphQL,https://es.wikipedia.org/wiki/GraphQL,wikipedia,es,
Backend,Interfaz de programación de aplicaciones,https://es.wikipedia.org/wiki/Interfaz_de_programaci%C3%B3n_de_aplicaciones,wikipedia,es,
Backend,Java lenguaje de programación,https://es.wikipedia.org/wiki/Java_(lenguaje_de_programaci%C3%B3n),wikipedia,es,
Backend,Middleware,https://es.wikipedia.org/wiki/Middleware,wikipedia,es,
Backend,Node.js,https://es.wikipedia.org/wiki/Node.js,wikipedia,es,
Backend,Servicio web,https://es.wikipedia.org/wiki/Servicio_web,wikipedia,es,
Backend,Spring Framework,https://es.wikipedia.org/wiki/Spring_Framework,wikipedia,es,
Backend,Transferencia de Estado Representacional,https://es.wikipedia.org/wiki/Transferencia_de_Estado_Representacional,wikipedia,es,
Bases de Datos,API IndexedDB,https://developer.mozilla.org/es/docs/Web/API/IndexedDB_API,html,es,
Bases de Datos,Usar IndexedDB,https://developer.mozilla.org/es/docs/Web/API/IndexedDB_API/Using_IndexedDB,html,es,
Bases de Datos,Base de datos relacional,https://es.wikipedia.org/wiki/Base_de_datos_relacional,wikipedia,es,
Bases de Datos,MongoDB,https://es.wikipedia.org/wiki/MongoDB,wikipedia,es,
Bases de Datos,NoSQL,https://es.wikipedia.org/wiki/NoSQL,wikipedia,es,
Bases de Datos,Normalización de bases de datos,https://es.wikipedia.org/wiki/Normalizaci%C3%B3n_de_bases_de_datos,wikipedia,es,
Bases de Datos,PostgreSQL,https://es.wikipedia.org/wiki/PostgreSQL,wikipedia,es,
Bases de Datos,SQL,https://es.wikipedia.org/wiki/SQL,wikipedia,es,
Bases de Datos,Transacción de base de datos,https://es.wikipedia.org/wiki/Transacci%C3%B3n_(base_de_datos),wikipedia,es,
Cloud,Almacenamiento en nube,https://es.wikipedia.org/wiki/Almacenamiento_en_nube,wikipedia,es,
Cloud,Amazon Web Services,https://es.wikipedia.org/wiki/Amazon_Web_Services,wikipedia,es,
Cloud,Centro de procesamiento de datos,https://es.wikipedia.org/wiki/Centro_de_procesamiento_de_datos,wikipedia,es,
Cloud,Computación en la nube,https://es.wikipedia.org/wiki/Computaci%C3%B3n_en_la_nube,wikipedia,es,
